Name,Alias,Group,MVP,Team,,
VM infra,"EC2, Compute Engine",Compute,yes,Mantle,,
Container,"EKS, Kubernetes Engine",Compute,yes,BedRock,,
Function,"Lambda, Serverless",Compute,no,?,,
Instance Storage,EBS,Storage,yes,Mantle,,
Object/Block Storage,"CephS3, EFS",Storage,no,Mantle,,
Software Defined Networking,"Subnets, Firewalls, Routing - VPC",Networking,yes,Mantle,,
DNS,,Networking,yes,Mantle,,
Load Balancing,,Networking,yes,Mantle,,
Cloud Edge ,Cloud Interconnect,Networking,yes,OneCloud,,
API Gateway,Apigee/AWS API Gateway,API Gateway,no,?,,
Key Management System + HSM,,Security,yes,DPG,,
IAM,,Security,yes,DPG,,
Data Classification,,Security,no,DPG,,
Security Scanner,,Security,no,DPG,,
Certificate Manager + HSM,,Security,yes,DPG,,
Monitoring,,Operations,yes,DEA,,
Logging,,Operations,yes,DEA,,
Service Catalog,Service Confg. Manager,Operations,?,REX,,
Alerting + Notification Service,,Operations,yes,REX?,,
Trace/Trail,,Operations,?,SIAM?,,
Service Desk,,Operations,?,?,,
Chat,,Operations,?,?,,
BillingAptio,,Operations,?,OneCloud,,
Artifact Registry,Artifactory,DevTools,yes,DEA,,
CI Server,Jenkins/TeamCity,DevTools,yes,DEA,,
Source Code,Github,DevTools,yes,DEA,,
Deploy Pipeline,,DevTools,yes,DEA,,
Oracle,,Databases,no,?,,
Cassandra,,Databases,no,?,,
PubSub,EventHub,Databases,no,EventHub,,
